Portuguese,English
desculpe,excuse me
filho,son
certeza,assurance
vão,they go
hora,hour
ok,OK
outra,other
sair,get out
toda,all
volta,return
problema,problem
obrigada,Thanks
olá,Hello
tipo,type
realmente,really
sabia,you knew
aconteceu,It happened
menos,any less
mulher,woman
algum,any
diga,say
falando,talking
espere,wait
ótimo,excellent
carro,car
vezes,times
amigo,friend
primeiro,first
deveria,should
seria,he would be
venha,come
três,three
entre,in between
daqui,from here
sério,for real
diz,it says
voltar,come back
ah,ah
parte,part
amor,love
feliz,happy
às,at
viu,it saw
embora,although
família,family
olhe,look
deixar,to leave
atrás,behind
tenha,you have
faça,Knife
pensei,I thought
ajudar,help
todas,all
olha,look
aquele,that one
duas,two
querida,Honey
frente,front
vi,saw
indo,going
alguns,some
dias,days
fui,went
vem,comes
lado,side
podem,they can
fiz,made
merda,Shit
nas,in the
pare,Stop
tarde,evening
gosto,I like
precisamos,we need
caso,case
fique,stay
dentro,inside
cidade,City
momento,time
pegar,take
foram,were
nenhum,none
gente,people
somos,are
amanhã,tomorrow
fosse,was
cabeça,head
gostaria,would
amigos,friends
mal,bad
enquanto,While
homens,men
logo,soon
deles,from them
desde,since
tanto,so much
garota,girl
pessoa,people
legal,cool
amo,master
rápido,fast
algumas,some
cada,each
jeito,way
tentando,trying
meio,quite
outros,others
têm,has
medo,fear
minhas,my
importa,it matters
irmão,brother
errado,wrong
história,story
primeira,first
quase,almost
horas,hours
encontrar,meet
nova,new
essas,these
pessoal,staff
dá,from the
difícil,difficult
forma,form
contra,against
matar,to kill
semana,week
dizendo,saying
perto,near
demais,too much
entrar,get in
esses,Those
deu,He gave
achei,I found
deixe,leave
vejo,watch
polícia,police
espero,I expect
sido,been
juntos,together
ajuda,help
ano,year
caminho,path
nisso,in that
elas,they
quiser,he wants
crianças,kids
manhã,morning
for,is
aquela,that one
sorte,luck
morte,death
pensar,think
papai,Daddy
aos,to the
ali,there
veja,Look
fica,he is
teve,had
quarto,bedroom
levar,take along
filha,daughter
feito,done
minutos,minutes
morto,dead
porta,door
tive,had
entendo,I understand
cima,top
acabou,he finished
tá,OK
chegar,to arrive
num,on one
veio,he came
água,Water
mesma,same
dê,in
significa,means
teria,it would have
pronto,ready
esposa,wife
vir,come over
acredito,I believe
ouvir,listen
gosta,he likes
morrer,to die
nossos,ours
olhos,eyes
garoto,boy
última,last
coração,heart
contar,tell
importante,important
jogo,match
acontecendo,happening
razão,reason
mãos,hands
devo,I
ideia,idea
consigo,with you
idiota,idiot
passar,to spend
havia,there were
problemas,problems
parar,stop
senhora,Lady
fim,end
corpo,body
chefe,boss
poder,power
mamãe,Mommy
ia,would
cuidado,Careful
começar,begin
espera,wait
ficou,stayed
conta,account
exatamente,exactly
arma,weapon
longe,far
escola,school
tentar,to try
pois,because
terra,Earth
droga,damn it
ontem,yesterday
pensando,thinking
única,only
devia,should
sendo,being
causa,cause
guerra,war
chance,chance
usar,to use
marido,husband
mão,hand
tal,such
numa,in
trabalhar,to work
sangue,blood
música,song
esperar,wait
querem,they want
uns,some
nenhuma,none
tivesse,had
digo,I say
estranho,weird
maior,larger
velho,old
faço,I do
boca,mouth
houve,there was
festa,party
estavam,they were
fala,speaks
mulheres,women
conhece,you know
ouvi,I heard
tirar,to throw
esperando,waiting
podia,could
licença,license
capitão,captain
preocupe,worry
comer,eat
fácil,easy
deixa,he leaves
novamente,again
além,in addition
irmã,sister
meses,months
eram,they were
suficiente,enough
pais,country
segundo,second
sabemos,we know
muitas,lots of
cinco,five
bebê,drink
matou,killed
querido,Dear
muita,many
idéia,idea
saia,get out
muitos,Many
número,number
vê,see
deixou,he left
conseguir,get
lembra,remember
dessa,of that
morreu,died
tomar,to take
the,the
bastante,quite
neste,in this
maneira,manner
quatro,four
filhos,sons
acontecer,happen
criança,kid
dormir,to sleep
durante,during
possa,be likely to
desse,of that
vindo,coming
certa,certain
